"Reference","Value","Footprint","Qty","DNP","Digikey","Description"
"C1,C3,C6","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","","490-12317-1-ND","CAP CER 10UF 16V X5R 0603"
"C2,C4","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","399-C0603X104J3RACAUTOCT-ND","CAP CER 0.1UF 25V X7R 0603"
"C5","2p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","1284-1196-1-ND","CAP CER 2PF 250V C0G/NP0 0603"
"C7","68p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","DNP","1276-1135-1-ND","CAP CER 0603 1NF 16V X7R 5%"
"J2,J3","Conn_01x16_Male","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","2","","3M156268-16-ND","CONN HEADER VERT 16POS 2.54MM"
"R1,R4","100R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","2019-RK73H1JTTD1000FCT-ND","RES 100 OHM 1% 1/8W 0603"
"R2","499R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","2019-RK73H1JTTD4990FCT-ND","RES 499 OHM 1% 1/8W 0603"
"R3","2.49K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","311-2.49KHRCT-ND","RES 2.49K OHM 1% 1/10W 0603"
"R5,R6","2.49K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","DNP","311-2.49KHRCT-ND","RES 2.49K OHM 1% 1/10W 0603"
"RV1","10K","BournsTrimPot_3296W-1-502LF:TRIM_3296W-1-502LF","1","","3296W-103LF-ND","TRIMMER 10K OHM 0.5W PC PIN TOP"
"U1","TCD1304AP","DIP1016W47P254L4210H372Q22","1","","110-87-422-41-001101","CONN IC DIP SOCKET 22POS GOLD"
"U2","ADA4807-2ARMZ-R7","Package_SO:MSOP-8_3x3mm_P0.65mm","1","","ADA4807-2ARMZ-R7CT-ND","IC VOLTAGE FEEDBACK 2 CIRC 8MSOP"
"U3","Teensy4.0","teensy_footprints:Teensy40","1","","1568-DEV-16997-ND","Teensy4.0"
